uid,category,turn_indices,gt_turn_index,gt_type,gt_role,gt_value,pred_type,pred_tools,pred_response,pred_error,score_when2call,score_schema_reliability_raw,score_schema_reliability_processed,score_tool_pick_up_rate,score_tool_hallucination_rate,score_tool_additional_rate,score_variable_pickup_rate,score_variable_correct_rate,score_variable_hallucination_rate,score_variable_additional_rate,score_exact_match,raw_output
9adc9fb2-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""payee"", ""payees"": [""Tesco"", ""Mortgage_Payment_Direct"", ""Eventbrite""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee"", ""payees"": [""Tesco"", ""Mortgage_Payment_Direct"", ""Eventbrite""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\"", \""payees\"": [\""Tesco\"", \""Mortgage_Payment_Direct\"", \""Eventbrite\""]}}}""}"
c05d8d44-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""payee\""}}}""}"
4baf59d5-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_month\"", \""group_by\"": \""category\""}}}""}"
44fdd42d-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""limit"": 5}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\""}}}""}"
d35597d2-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_90_days"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""payee\""}}}""}"
ed14c269-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""category"", ""categories"": [""Hair & Beauty"", ""Public transport""]}}",tool,"[{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""category"", ""categories"": [""Groceries"", ""Public transport"", ""Taxi & Car sharing"", ""Fuel""]}}]",,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_stacked_bar_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\"", \""categories\"": [\""Groceries\"", \""Public transport\"", \""Taxi & Car sharing\"", \""Fuel\""]}}}""}"
8467d5ef-ric,complete,[0],1,tool,assistant,"{""name"": ""show_stacked_bar_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_90_days"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""payee\""}}}""}"
fc75f962-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_30_days"", ""group_by"": ""category""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""income"", ""time_range"": ""last_month"", ""group_by"": ""category""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""income\"", \""time_range\"": \""last_month\"", \""group_by\"": \""category\""}}}""}"
7026897b-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category"", ""categories"": [""Medical""]}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""category"", ""categories"": [""Medical""]}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""category\"", \""categories\"": [\""Medical\""]}}}""}"
89eb7eb8-ric,complete,[0],1,tool,assistant,"{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_month"", ""group_by"": ""payee""}}]",,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_month\"", \""group_by\"": \""payee\""}}}""}"
