uid,category,turn_indices,gt_turn_index,gt_type,gt_role,gt_value,pred_type,pred_tools,pred_response,pred_error,score_rouge1,score_rougeL,score_bert_precision,score_bert_recall,score_bert_f1,score_levenshtein_distance,score_levenshtein_ratio,score_when2call,raw_output
9adc9fb2-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed pie chart. Total: £33. Top categories: Eventbrite: £33.,nlp,[],"It looks like you spent £33 with Eventbrite last month. This was your largest expense among Tesco, your mortgage, and Eventbrite.",,0.13333333333333333,0.13333333333333333,0.8639780282974243,0.8789986371994019,0.8714236617088318,99.0,0.38144329896907214,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""It looks like you spent \u00a333 with Eventbrite last month. This was your largest expense among Tesco, your mortgage, and Eventbrite.\""}""}"
c05d8d44-ric,complete,"[0, 1, 2]",2,nlp,tool,"Displayed pie chart. Total: £23053. Top categories: Other: £9522, RE_MGMT_SVC: £2685, Currys: £2280, Amazon Digital: £2276, Mortgage_Payment_Direct: £1802, Argos: £951, Apple Store: £811, Massage Center: £804, Personal Loan Pymt: £753, Student Loan Co: £628.",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""this_year"", ""group_by"": ""payee""}}]",,,,,,,,,,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""this_year\"", \""group_by\"": \""payee\""}}}""}"
4baf59d5-ric,complete,"[0, 1, 2]",2,nlp,tool,"Displayed pie chart. Total: £3106. Top categories: Rent/Mortgage: £687, Spa & Wellness: £576, Other: £361, Hobbies: £292, Events: £274, Home & Garden: £234, Hair & Beauty: £191, Loans: £190, Home improvement: £112, Clothing & Shoes: £95.",nlp,[],"It looks like your biggest expense this month was Rent/Mortgage at £687, followed by Spa & Wellness at £576. Other expenses include Hobbies (£292), Events (£274), and Home & Garden (£234).",,0.4444444444444445,0.4444444444444445,0.907504677772522,0.8918880224227905,0.8996285796165466,171.0,0.5129411764705882,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""It looks like your biggest expense this month was Rent/Mortgage at \u00a3687, followed by Spa & Wellness at \u00a3576. Other expenses include Hobbies (\u00a3292), Events (\u00a3274), and Home & Garden (\u00a3234).\""}""}"
44fdd42d-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed pie chart. Total: £3387. Top categories: EMPLOYER_PAYROLL: £3387.,nlp,[],"It looks like your primary income source last month was from your employer payroll, totaling £3387.",,0.23076923076923075,0.23076923076923075,0.865189790725708,0.858214795589447,0.8616881370544434,76.0,0.3563218390804598,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""It looks like your primary income source last month was from your employer payroll, totaling \u00a33387.\""}""}"
d35597d2-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed pie chart. Total: £5686. Top categories: EMPLOYER_PAYROLL: £5686.,nlp,[],"It looks like your income over the last three months has been entirely from your employer payroll, totaling £5686.",,0.20689655172413793,0.20689655172413793,0.8537733554840088,0.8567721843719482,0.8552700877189636,88.0,0.328042328042328,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""It looks like your income over the last three months has been entirely from your employer payroll, totaling \u00a35686.\""}""}"
ed14c269-ric,complete,"[0, 1, 2]",2,nlp,tool,"Displayed pie chart. Total: £434. Top categories: Hair & Beauty: £352, Public transport: £81.",nlp,[],"You spent £352 on Hair & Beauty and £81 on Public transport last month. Therefore, you spent more on grooming (Hair & Beauty) than transport.",,0.33333333333333337,0.2222222222222222,0.8885031938552856,0.8840571045875549,0.886274516582489,106.0,0.4273504273504274,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""You spent \u00a3352 on Hair & Beauty and \u00a381 on Public transport last month. Therefore, you spent more on grooming (Hair & Beauty) than transport.\""}""}"
8467d5ef-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed bar chart covering 2026-10 to 2026-12. 2026-10: EMPLOYER_PAYROLL: £1884; 2026-11: EMPLOYER_PAYROLL: £1908; 2026-12: EMPLOYER_PAYROLL: £1893.,nlp,[],"Here's a breakdown of your income from each vendor over the last three months. It appears your income primarily comes from your employer, with consistent amounts around £1890 each month.",,0.03636363636363637,0.03636363636363637,0.8483104109764099,0.7910147309303284,0.8186613321304321,162.0,0.20833333333333337,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""Here's a breakdown of your income from each vendor over the last three months. It appears your income primarily comes from your employer, with consistent amounts around \u00a31890 each month.\""}""}"
fc75f962-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed pie chart. Total: £1918. Top categories: EMPLOYER_PAYROLL: £1918.,nlp,[],"It looks like you earned £1918 last month, all from your employer payroll.",,0.2608695652173913,0.2608695652173913,0.8634727001190186,0.8546662330627441,0.8590468764305115,63.0,0.3087248322147651,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""It looks like you earned \u00a31918 last month, all from your employer payroll.\""}""}"
7026897b-ric,complete,"[0, 1, 2]",2,nlp,tool,Displayed pie chart. Total: £782. Top categories: Medical: £782.,nlp,[],"Okay, so your total medical expenses this year are £782, and that's the only category listed.",,0.23076923076923078,0.23076923076923078,0.8736809492111206,0.8887848854064941,0.8811681866645813,70.0,0.42038216560509556,1.0,"{""role"": ""assistant"", ""content"": ""{\""content\"": \""Okay, so your total medical expenses this year are \u00a3782, and that's the only category listed.\""}""}"
89eb7eb8-ric,complete,"[0, 1, 2]",2,nlp,tool,"Displayed pie chart. Total: £1490. Top categories: RE_MGMT_SVC: £475, Other: £327, Art Supplies: £150, Day Spa: £111, Golf Club: £91, IKEA: £78, Massage Center: £69, Sky Digital: £62, Dishoom: £59, Champneys: £35.",tool,"[{""name"": ""show_pie_chart"", ""arguments"": {""data_type"": ""spending"", ""time_range"": ""last_30_days"", ""group_by"": ""payee""}}]",,,,,,,,,,0.0,"{""role"": ""assistant"", ""content"": ""{\""tool_calls\"": {\""name\"": \""show_pie_chart\"", \""args\"": {\""data_type\"": \""spending\"", \""time_range\"": \""last_30_days\"", \""group_by\"": \""payee\""}}}""}"
